mul;add;rot;inv;blocks;threads;energy
0;1096500;0;0;4;272;0,025694193
0;1096500;0;0;4;288;0,026066682
0;1096500;0;0;4;304;0,026099849
0;1096500;0;0;4;320;0,025027098
0;1096500;0;0;4;336;0,025333563
0;1096500;0;0;4;352;0,025663167
0;1096500;0;0;4;368;0,026116123
0;1096500;0;0;4;384;0,026411768
0;1096500;0;0;4;400;0,02625995
0;1096500;0;0;4;416;0,025696128
0;1096500;0;0;4;432;0,024543512
0;1096500;0;0;4;448;0,025159772
0;1096500;0;0;4;464;0,025578769
0;1096500;0;0;4;480;0,025703685
0;1096500;0;0;4;496;0,02602723
0;1096500;0;0;4;512;0,026280925
0;1096500;0;0;4;528;0,026588056
0;1096500;0;0;4;544;0,026964604
0;1096500;0;0;4;560;0,027287085
0;1096500;0;0;4;576;0,026987576
0;1096500;0;0;4;592;0,026387105
0;1096500;0;0;4;608;0,025971297
0;1096500;0;0;4;624;0,025730087
0;1096500;0;0;4;640;0,024927551
0;1096500;0;0;4;656;0,024998466
0;1096500;0;0;4;672;0,025155277
